district_id,district_name,state_name
1,NICOBARS,ANDAMAN & NICOBAR ISLANDS
2,NORTH & MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
3,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
4,ANANTAPUR,ANDHRA PRADESH
5,CHITTOOR,ANDHRA PRADESH
6,EAST GODAVARI,ANDHRA PRADESH
7,GUNTUR,ANDHRA PRADESH
8,KRISHNA,ANDHRA PRADESH
9,KURNOOL,ANDHRA PRADESH
10,PRAKASAM,ANDHRA PRADESH
11,SRI POTTI SRIRAMULU NELLO,ANDHRA PRADESH
12,SRIKAKULAM,ANDHRA PRADESH
13,VISAKHAPATNAM,ANDHRA PRADESH
14,VIZIANAGARAM,ANDHRA PRADESH
15,WEST GODAVARI,ANDHRA PRADESH
16,Y.S.R.,ANDHRA PRADESH
17,ANJAW,ARUNACHAL PRADESH
18,CHANGLANG,ARUNACHAL PRADESH
19,DIBANG VALLEY,ARUNACHAL PRADESH
20,EAST KAMENG,ARUNACHAL PRADESH
21,EAST SIANG,ARUNACHAL PRADESH
22,KRA DAADI,ARUNACHAL PRADESH
23,KURUNG KUMEY,ARUNACHAL PRADESH
24,LOHIT,ARUNACHAL PRADESH
25,LONGDING,ARUNACHAL PRADESH
26,LOWER DIBANG VALLEY,ARUNACHAL PRADESH
27,LOWER SUBANSIRI,ARUNACHAL PRADESH
28,NAMSAI,ARUNACHAL PRADESH
29,PAPUM PARE,ARUNACHAL PRADESH
30,SIANG,ARUNACHAL PRADESH
31,TAWANG,ARUNACHAL PRADESH
32,TIRAP,ARUNACHAL PRADESH
33,UPPER SIANG,ARUNACHAL PRADESH
34,UPPER SUBANSIRI,ARUNACHAL PRADESH
35,WEST KAMENG,ARUNACHAL PRADESH
36,WEST SIANG,ARUNACHAL PRADESH
37,BAKSA,ASSAM
38,BARPETA,ASSAM
39,BISWANATH,ASSAM
40,BONGAIGAON,ASSAM
41,CACHAR,ASSAM
42,CHARAIDEO,ASSAM
43,CHIRANG,ASSAM
44,DARRANG,ASSAM
45,DHEMAJI,ASSAM
46,DHUBRI,ASSAM
47,DIBRUGARH,ASSAM
48,DIMA HASAO,ASSAM
49,GOALPARA,ASSAM
50,GOLAGHAT,ASSAM
51,HAILAKANDI,ASSAM
52,HOJAI,ASSAM
53,JORHAT,ASSAM
54,KAMRUP,ASSAM
55,KAMRUP METROPOLITAN,ASSAM
56,KARBI ANGLONG,ASSAM
57,KARIMGANJ,ASSAM
58,KOKRAJHAR,ASSAM
59,LAKHIMPUR,ASSAM
60,MAJULI,ASSAM
61,MORIGAON,ASSAM
62,NAGAON,ASSAM
63,NALBARI,ASSAM
64,SIVASAGAR,ASSAM
65,SONITPUR,ASSAM
