district_id,repeater_rate_pct,trained_teachers_total,total_teachers,schools_with_playground,schools_with_boundary_wall,schools_with_computer
219,0.01,181,9757,424,560,173
211,0.1,263,12708,761,595,269
227,0.25,176,10534,607,836,498
209,0.01,153,8316,490,520,215
220,0.07,132,6179,367,435,196
208,0.29,531,11784,595,774,344
215,0,1,2766,182,228,130
212,0.05,280,6849,411,174,109
228,1.28,269,7854,615,346,217
221,0.65,204,7043,358,219,147
214,0.09,72,19341,1720,1705,876
216,0.93,22,8859,917,783,246
210,0.59,85,4229,281,204,96
217,0.01,97,3744,125,156,80
223,0.01,60,3755,233,66,82
213,0.04,146,4055,250,271,131
218,0.11,46,5481,261,326,142
224,0.36,99,4525,325,162,116
225,0.17,69,4688,419,483,251
197,0.26,894,7250,1414,1139,355
199,0.05,1614,18804,2746,2319,871
202,0.87,337,1093,102,108,77
201,0.69,630,5594,1123,905,272
203,0.36,1305,13698,2583,2435,590
207,0.16,1223,6005,861,737,335
196,0.15,646,5517,908,488,323
206,0.04,908,7676,907,697,396
205,0.15,1344,7059,1161,932,310
204,0.09,2025,14041,2351,1287,644
200,3.1,290,1685,312,245,127
478,0,4024,16106,2128,2141,1035
471,0.04,3223,22246,2031,2183,1315
481,0.28,1793,8265,1047,1063,522
480,0,2768,18804,2194,2185,1232
479,0,3426,15474,2237,2250,1001
488,0.47,1499,6312,970,980,434
475,0,1119,5927,830,832,376
482,0.13,4566,33593,2921,2902,1803
484,0,1648,8270,843,850,495
477,0.02,1698,7595,1116,1110,485
485,0,1806,7665,747,778,468
474,0,1031,5566,560,549,309
473,1.01,2425,11219,981,1006,598
483,0,1043,6113,676,668,372
490,0,2178,14749,1560,1560,828
487,0.11,2971,18329,1836,1985,1041
472,0,1007,5121,451,467,286
476,0,2197,8753,1043,1054,527
486,0.01,1392,6670,763,781,382
108,0.18,807,9309,187,201,190
688,1.39,1009,5235,638,1012,410
678,0.03,2268,7023,1223,1329,427
685,1.43,511,4268,372,628,291
686,2.36,2234,10513,1363,1645,678
680,0.82,2376,12948,1666,2233,1142
681,0.56,3426,11208,1368,2235,724
684,0.03,1748,8673,946,1518,596
677,0.07,659,3428,392,695,378
676,0.03,1404,7878,1145,1893,566
679,0.07,611,3676,488,650,318
683,0.21,1601,10085,1358,1633,779
687,0.01,2105,14612,1483,1910,832
682,0.97,1014,9827,1326,1724,769
189,0.49,128,4789,405,479,224
174,0.19,155,9139,936,1043,468
195,0.32,386,8411,1080,1214,436
185,0.28,228,8147,864,1070,410
183,0.29,243,9180,814,903,416
184,0.45,152,13109,1030,1332,565
190,0.64,62,8763,782,779,459
194,0.3,127,13680,1019,1249,661
182,0.45,170,10732,924,1085,567
178,0.35,110,7225,860,903,392
193,0.41,219,9921,1016,1139,488
180,0.37,298,15957,1273,1473,785
175,0.28,466,15314,1374,1650,785
192,0.24,71,8001,684,757,462
181,0.41,133,9273,805,881,522
186,0.19,135,8580,868,1040,416
191,0.39,256,8056,757,918,418
179,0.31,639,10013,840,945,493
177,0.05,80,11474,876,1013,715
187,1.36,53,6155,687,903,288
188,0.1,62,9051,886,964,480
428,0.14,486,3613,80,95,88
507,0.56,402,19968,1619,2970,1116
508,0.62,157,16227,1363,2029,987
500,1.02,1648,20970,1640,2795,1117
503,1.25,610,20009,1558,2559,1170
513,0.54,532,22884,2027,2830,1342
494,0.77,319,35860,2825,4596,1162
498,0.66,265,23770,1801,2885,932
505,2.57,425,11464,680,1628,559
515,0.23,624,12537,1137,1756,535
521,1.81,406,14098,1061,1799,673
504,0.23,325,15632,1401,2139,724
509,0.15,437,71009,5621,8153,4375
522,2.34,408,27853,2468,3456,1311
517,2.22,979,31674,2933,4408,1531
514,0.48,361,36067,3564,4939,1910
510,0.87,332,6033,649,1380,375
497,1.76,1475,20241,3035,4793,739
511,0.57,939,14891,1432,2563,741
523,1.16,674,8191,524,1152,535
518,1.08,176,19550,1565,2646,1083
493,0.57,146,24321,1939,3054,1438
524,0.08,965,16555,1485,2338,833
501,0.81,610,11863,1013,1424,566
499,0.1,321,21351,2351,3245,905
520,1.83,1019,11448,1084,1826,708
