district_id,state_name,overall_literacy,female_literacy,male_literacy,total_enrollment,govt_enrollment,private_enrollment,school_age_population,primary_pupil_teacher_ratio,upper_primary_pupil_teacher_ratio,total_schools,schools_with_water,schools_with_electricity,schools_with_girls_toilet,schools_with_boys_toilet,schools_with_road_connectivity,pct_sc_population,pct_st_population,dropout_rate_pct,pct_govt_enrollment,pct_private_enrollment,pct_schools_road_connected,pct_schools_electricity,pct_schools_water,pct_schools_girls_toilet,girl_dropout_rate,boy_dropout_rate,dropout_gender_gap,literacy_gender_gap,toilet_gender_gap,total_teachers
219,JAMMU & KASHMIR,66.92,54.79,77.1,127558,86180,41378,135672,86,4,2076,1678,189,1897,1686,1611,0.12,8.08,1.65,67.6,32.4,77.6,9.1,80.8,91.4,1.33,1.97,-0.64,22.31,211,9757
211,JAMMU & KASHMIR,66.93,55.01,77.35,183107,89329,93778,117874,122,2,2310,2109,818,2296,2276,2071,0.15,3.74,1.99,48.8,51.2,89.7,35.4,91.3,99.4,1.64,2.33,-0.69,22.34,20,12708
227,JAMMU & KASHMIR,71.21,63.47,77.95,119458,17674,101784,113560,14,0,985,970,605,843,917,967,0.09,0.72,1.69,14.8,85.2,98.2,61.4,98.5,85.6,1.59,1.79,-0.19,14.48,-74,10534
209,JAMMU & KASHMIR,57.98,46.6,68.56,95521,57684,37781,118477,41,1,1468,1468,250,1459,1448,1438,0.05,3.17,1.59,60.4,39.6,98,17,100,99.4,1.32,1.85,-0.53,21.96,11,8316
220,JAMMU & KASHMIR,65,53.81,75.41,61345,28026,33319,64493,15,1,1028,989,225,889,835,965,0.07,4.03,2.75,45.7,54.3,93.9,21.9,96.2,86.5,2.43,3.06,-0.63,21.6,54,6179
208,JAMMU & KASHMIR,64.32,54.15,74.13,118203,66155,52048,150600,33,2,1885,1792,368,1806,1769,1724,0.17,10.75,1.74,56,44,91.5,19.5,95.1,95.8,1.43,2.03,-0.59,19.98,37,11784
215,JAMMU & KASHMIR,74.49,58.05,86.73,19483,11305,8178,15468,4,1,586,345,45,582,569,553,0.01,86.89,1.88,58,42,94.4,7.7,58.9,99.3,1.89,1.86,0.03,28.68,13,2766
212,JAMMU & KASHMIR,65.97,50.34,80.36,76451,56089,20362,52488,46,3,1459,1285,192,1457,1451,1078,13.03,9.57,1.92,73.4,26.6,73.9,13.2,88.1,99.9,1.71,2.12,-0.4,30.02,6,6849
228,JAMMU & KASHMIR,69.9,58.22,79.93,95087,67033,28054,61091,51,6,1745,1702,514,1511,1210,1049,24.97,10.15,1.24,70.5,29.5,60.1,29.5,97.5,86.6,1,1.45,-0.45,21.71,301,7854
221,JAMMU & KASHMIR,68.69,54.8,81.04,96743,72093,24650,64075,82,13,1693,1222,232,1501,1273,970,0.12,36.93,1.07,74.5,25.5,57.3,13.7,72.2,88.7,0.86,1.26,-0.41,26.24,228,7043
214,JAMMU & KASHMIR,83.98,77.41,89.77,218730,64437,154293,121628,42,3,2408,2349,1473,2275,2247,2188,24.71,4.52,0.3,29.5,70.5,90.9,61.2,97.5,94.5,0.26,0.32,-0.06,12.36,28,19341
216,JAMMU & KASHMIR,73.5,64.56,81.4,96778,55051,41727,61407,37,4,1758,1748,690,1661,1446,1313,22.91,8.65,0.6,56.9,43.1,74.7,39.2,99.4,94.5,0.5,0.68,-0.18,16.84,215,8859
210,JAMMU & KASHMIR,57.82,46.24,68.41,57358,41434,15924,46005,30,1,858,858,98,838,840,809,0.1,19.22,1.16,72.2,27.8,94.3,11.4,100,97.7,0.96,1.34,-0.38,22.17,-2,4229
217,JAMMU & KASHMIR,58.54,44.13,71.75,41099,31803,9296,29055,31,1,874,842,101,787,780,603,6.2,16.54,0.97,77.4,22.6,69,11.6,96.3,90,0.79,1.13,-0.34,27.62,7,3744
223,JAMMU & KASHMIR,56.9,40.04,71.97,56874,47131,9743,41326,62,0,924,894,373,889,912,615,4.91,14.02,2.35,82.9,17.1,66.6,40.4,96.8,96.2,2.04,2.63,-0.59,31.93,-23,3755
213,JAMMU & KASHMIR,59.99,47.62,70.74,40776,23843,16933,37151,14,2,675,617,155,546,577,620,0.04,20.53,1.68,58.5,41.5,91.9,23,91.4,80.9,1.47,1.87,-0.4,23.12,-31,4055
218,JAMMU & KASHMIR,60.35,49.74,70.58,59995,35022,24973,48981,27,0,970,906,177,961,949,746,0.01,6.25,1.45,58.4,41.6,76.9,18.2,93.4,99.1,1.23,1.66,-0.44,20.84,12,5481
224,JAMMU & KASHMIR,59.42,47.55,69.93,62352,52573,9779,40695,47,2,1201,1201,271,1198,1195,479,12,28.08,0.69,84.3,15.7,39.9,22.6,100,99.8,0.5,0.85,-0.35,22.38,3,4525
225,JAMMU & KASHMIR,82.48,74.39,89.76,46504,15333,31171,27998,13,4,687,654,545,624,582,590,28.8,5.51,0.64,33,67,85.9,79.3,95.2,90.8,0.63,0.64,-0.01,15.37,42,4688
197,HIMACHAL PRADESH,73.19,62.14,84.19,83121,70776,12345,51872,95,68,1773,1773,1544,1767,1764,1147,21.52,26.1,0.68,85.1,14.9,64.7,87.1,100,99.7,0.53,0.82,-0.29,22.05,3,7250
199,HIMACHAL PRADESH,86.49,80.62,92.55,184909,85415,99494,115686,54,36,3129,3129,3061,3124,3109,2811,21.15,5.6,1.2,46.2,53.8,89.8,97.8,100,99.8,1.03,1.35,-0.32,11.93,15,18804
202,HIMACHAL PRADESH,77.24,66.5,86.97,3205,2480,725,2385,0,0,278,274,177,272,275,171,7.08,81.44,2.5,77.4,22.6,61.5,63.7,98.6,97.8,2.43,2.57,-0.14,20.47,-3,1093
201,HIMACHAL PRADESH,80.14,71.01,88.8,65171,44023,21148,37567,38,37,1185,1174,937,1179,1179,785,28.01,3.84,0.96,67.5,32.5,66.2,79.1,99.1,99.5,0.92,0.99,-0.07,17.79,0,5594
203,HIMACHAL PRADESH,82.81,74.33,91.51,128534,84585,43949,81423,74,55,2848,2839,2819,2841,2837,2129,29.38,1.28,1.03,65.8,34.2,74.8,99,99.7,99.8,0.91,1.14,-0.23,17.18,4,13698
207,HIMACHAL PRADESH,87.23,81.67,92.75,72899,43051,29814,42408,39,33,906,905,905,904,901,836,22.16,1.65,0.83,59.1,40.9,92.3,99.9,99.9,99.8,0.71,0.93,-0.21,11.08,3,6005
196,HIMACHAL PRADESH,85.67,78.9,92.39,48481,29533,18948,29136,20,10,1025,1025,1013,1023,1023,861,25.92,2.8,1.96,60.9,39.1,84,98.8,100,99.8,1.81,2.09,-0.28,13.49,0,5517
206,HIMACHAL PRADESH,85.02,78.02,91.19,96717,55038,41679,48350,67,55,1305,1305,1284,1302,1299,1136,28.35,4.42,0.72,56.9,43.1,87,98.4,100,99.8,0.61,0.81,-0.2,13.17,3,7676
205,HIMACHAL PRADESH,79.98,72.55,86.76,86276,62474,23802,50339,78,70,1587,1587,1372,1570,1568,1134,30.34,2.13,0.63,72.4,27.6,71.5,86.5,100,98.9,0.53,0.73,-0.2,14.21,2,7059
204,HIMACHAL PRADESH,84.55,77.8,90.73,113391,67611,45780,62009,37,13,2687,2687,1995,2670,2649,2678,26.51,1.08,1.47,59.6,40.4,99.7,74.2,100,99.4,1.23,1.7,-0.47,12.93,21,14041
200,HIMACHAL PRADESH,80.77,71.34,88.37,9971,6768,3203,6260,0,0,313,313,306,313,313,306,17.53,57.95,1.32,67.9,32.1,97.8,97.8,100,100,1.23,1.42,-0.19,17.03,0,1685
478,PUNJAB,81.06,75.73,85.9,227173,98944,127487,183543,145,63,2161,2161,2161,2140,2127,2148,25.26,0,2.2,43.6,56.1,99.4,100,100,99,2.02,2.34,-0.33,10.17,13,16106
471,PUNJAB,77.2,72.75,81.2,373596,355375,14219,205882,305,123,2251,2251,2251,2218,2184,2203,30.95,0,1.75,95.1,3.8,97.9,100,100,98.5,1.66,1.82,-0.16,8.45,34,22246
481,PUNJAB,80.18,75.36,84.6,117749,59799,57950,62529,79,36,1073,1072,1072,1066,1058,1067,33.95,0,2.78,50.8,49.2,99.4,99.9,99.9,99.3,2.69,2.85,-0.16,9.24,8,8265
480,PUNJAB,82.4,78.31,86.1,302486,133065,17244,164181,263,124,2228,2228,2228,2194,2159,2226,38.95,0,1.79,44,5.7,99.9,100,100,98.5,1.89,1.71,0.17,7.79,35,18804
479,PUNJAB,85.43,80.78,89.9,217179,105719,111400,121442,146,39,2286,2286,2281,2279,2255,2286,35.14,0,2.71,48.7,51.3,100,99.8,100,99.7,2.72,2.69,0.03,9.12,24,15474
488,PUNJAB,83.28,77.17,88.9,90156,45151,4836,52150,92,28,1019,1019,1019,1016,1011,1014,26.42,0,3.25,50.1,5.4,99.5,100,100,99.7,3.05,3.41,-0.35,11.73,5,6312
475,PUNJAB,80.33,75.53,84.5,77779,39160,3173,45474,39,8,833,833,833,827,825,833,32.07,0,4.65,50.3,4.1,100,100,100,99.3,4.72,4.59,0.13,8.97,2,5927
482,PUNJAB,82.54,78.16,86.3,544178,173597,369865,280799,335,99,2961,2961,2961,2928,2903,2939,26.39,0,1.43,31.9,68,99.3,100,100,98.9,1.58,1.32,0.26,8.14,25,33593
484,PUNJAB,71.59,67.41,75.3,138876,95537,43339,77168,169,85,857,857,857,843,828,857,36.5,0,2.73,68.8,31.2,100,100,100,98.4,2.59,2.85,-0.27,7.89,15,8270
477,PUNJAB,69.85,62.24,76.7,141233,77893,63340,181175,280,70,1118,1118,1115,1112,1105,1115,42.17,0,3.38,55.2,44.8,99.7,99.7,100,99.5,3.21,3.52,-0.31,14.46,7,7595
485,PUNJAB,66.79,60.03,72.9,126576,72755,53821,75085,174,32,783,783,783,770,768,777,42.31,0,1.72,57.5,42.5,99.2,100,100,98.3,1.68,1.75,-0.06,12.87,2,7665
474,PUNJAB,70.65,64.82,75.9,89417,49671,39746,50013,48,30,560,559,560,554,552,560,38.92,0,2.65,55.5,44.5,100,100,99.8,98.9,2.21,3.01,-0.8,11.08,2,5566
473,PUNJAB,69.57,62.92,75.3,188231,99289,88942,109398,193,48,1019,1019,1019,1010,992,1018,32.44,0,3.19,52.7,47.3,99.9,100,100,99.1,3.15,3.21,-0.06,12.38,18,11219
483,PUNJAB,62.78,56.41,68.4,109805,71621,36007,61210,139,59,677,677,677,663,658,677,33.63,0,2.15,65.2,32.8,100,100,100,97.9,1.78,2.45,-0.67,11.99,5,6113
490,PUNJAB,68.88,62.86,74.2,224907,106047,117117,131199,184,50,1560,1560,1560,1551,1546,1560,27.89,0,1.91,47.2,52.1,100,100,100,99.4,1.59,2.17,-0.58,11.34,5,14749
487,PUNJAB,76.26,70.47,81.4,273899,122187,151671,154215,253,67,2035,2033,2032,2015,1992,2035,24.55,0,2.23,44.6,55.4,100,99.9,99.9,99,1.99,2.42,-0.43,10.93,23,18329
472,PUNJAB,68.9,64.14,73.1,83134,42364,40770,47135,81,33,470,470,470,465,460,470,32.24,0,1.3,51,49,100,100,100,98.9,1.1,1.46,-0.36,8.96,5,5121
476,PUNJAB,,,,154963,94643,60234,,228,56,1063,1063,1063,1060,1052,1062,,,2.46,61.1,38.9,99.9,100,100,99.7,2.38,2.52,-0.15,,8,8753
486,PUNJAB,,,,89530,42706,46590,,19,16,802,802,799,798,796,802,,,0.85,47.7,52,100,99.6,100,99.5,0.76,0.92,-0.16,,2,6670
108,CHANDIGARH,86.43,81.38,90.54,157921,101884,55040,87957,0,0,201,201,201,200,198,201,18.86,0,2.48,64.5,34.9,100,100,100,99.5,2.12,2.78,-0.67,9.16,2,9309
688,UTTARAKHAND,75.98,62.23,89.26,59660,35084,24544,35056,26,16,1352,1239,822,1332,1329,835,24.41,1.06,0.93,58.8,41.1,61.8,60.8,91.6,98.5,0.81,1.04,-0.23,27.03,3,5235
678,UTTARAKHAND,83.48,73.2,94.18,60609,40429,19459,38145,14,19,1640,1616,660,1623,1613,1206,20.25,3.13,0.98,66.7,32.1,73.5,40.2,98.5,99,0.82,1.13,-0.32,20.98,10,7023
685,UTTARAKHAND,82.09,70.94,94.97,39155,25228,13927,23314,8,4,986,981,716,976,978,832,19.68,0.16,1.5,64.4,35.6,84.4,72.6,99.5,99,1.61,1.4,0.22,24.03,-2,4268
686,UTTARAKHAND,75.1,61.77,89.91,100349,63566,35571,62483,38,41,2471,2321,1619,2377,2334,1816,16.5,0.14,0.77,63.3,35.4,73.5,65.5,93.9,96.2,0.7,0.84,-0.13,28.14,43,10513
680,UTTARAKHAND,85.24,79.61,90.32,281893,85008,194612,149859,413,156,2449,2427,2233,2427,2388,2008,13.49,6.58,0.49,30.2,69,82,91.2,99.1,99.1,0.43,0.53,-0.1,10.71,39,12948
681,UTTARAKHAND,82.59,73.26,93.18,98256,55602,42654,61427,45,48,2676,2517,1729,2624,2594,1814,17.8,0.32,0.51,56.6,43.4,67.8,64.6,94.1,98.1,0.52,0.49,0.03,19.92,30,11208
684,UTTARAKHAND,82.93,72.97,93.45,72897,41262,30069,46685,17,16,1987,1848,953,1756,1889,1501,24.9,4.04,1.15,56.6,41.2,75.5,48,93,88.4,1.07,1.23,-0.17,20.48,-133,8673
677,UTTARAKHAND,80.69,69.59,93.2,40231,25558,14626,26538,44,23,995,942,732,970,948,653,27.73,0.76,0.74,63.5,36.4,65.6,73.6,94.7,97.5,0.72,0.76,-0.04,23.61,22,3428
676,UTTARAKHAND,81.06,70.44,93.57,89753,55892,33052,58705,82,7,2241,2210,1320,2214,2195,1468,24.26,0.21,0.62,62.3,36.8,65.5,58.9,98.6,98.8,0.48,0.76,-0.29,23.13,19,7878
679,UTTARAKHAND,80.73,68.81,92.65,44852,28094,16758,27769,29,31,854,801,489,850,843,628,18.25,0.52,0.71,62.6,37.4,73.5,57.3,93.8,99.5,0.67,0.75,-0.09,23.84,7,3676
683,UTTARAKHAND,84.85,78.21,91.09,158884,67228,88636,90422,207,71,1991,1966,1658,1814,1830,1642,20.03,0.79,0.35,42.3,55.8,82.5,83.3,98.7,91.1,0.34,0.36,-0.01,12.88,-16,10085
687,UTTARAKHAND,74.44,65.73,82.48,323937,116752,195079,171235,384,153,2105,2087,1917,2011,1997,2005,14.45,7.46,0.5,36,60.2,95.2,91.1,99.1,95.5,0.45,0.54,-0.09,16.75,14,14612
682,UTTARAKHAND,74.62,65.96,82.26,342197,117506,198089,214392,638,201,1913,1881,1666,1892,1788,1806,21.76,0.33,0.32,34.3,57.9,94.4,87.1,98.3,98.9,0.25,0.38,-0.13,16.3,104,9827
189,HARYANA,83.44,77.48,88.65,90031,46706,42378,47718,144,12,554,554,519,548,545,511,18.14,0,0.98,51.9,47.1,92.2,93.7,100,98.9,0.92,1.03,-0.11,11.17,3,4789
174,HARYANA,82.89,76.64,88.47,151767,65337,82777,91412,180,32,1083,1083,1083,1067,1049,1078,26.26,0,0.84,43.1,54.5,99.5,100,100,98.5,0.75,0.92,-0.17,11.83,18,9139
195,HARYANA,78.93,71.99,85.06,159168,71104,84014,104733,196,81,1287,1287,1259,1273,1268,1246,25.26,0,0.94,44.7,52.8,96.8,97.8,100,98.9,0.79,1.07,-0.28,13.07,5,8411
185,HARYANA,76.7,69.18,83.46,135462,64724,62798,83701,201,55,1083,1083,1081,1072,1054,1077,22.3,0,0.98,47.8,46.4,99.4,99.8,100,99,0.84,1.09,-0.26,14.28,18,8147
183,HARYANA,70.56,60.69,79.33,159659,80429,75541,98610,141,49,918,911,887,866,837,907,23.04,0,1.25,50.4,47.3,98.8,96.6,99.2,94.3,1.16,1.33,-0.18,18.64,29,9180
184,HARYANA,76.44,68.29,83.73,229568,99137,113136,138652,199,79,1346,1345,1301,1327,1306,1324,22.56,0,0.78,43.2,49.3,98.4,96.7,99.9,98.6,0.74,0.82,-0.07,15.44,21,13109
190,HARYANA,77.46,68.23,85.45,182944,67125,99178,123965,171,52,790,790,775,754,734,784,17.11,0,0.8,36.7,54.2,99.2,98.1,100,95.4,0.69,0.9,-0.21,17.22,20,8763
194,HARYANA,80.83,70.88,89.4,213429,80210,129213,136200,185,31,1260,1260,1257,1224,1203,1239,18.62,0,1.09,37.6,60.5,98.3,99.8,100,97.1,1.04,1.12,-0.08,18.52,21,13680
182,HARYANA,72.73,61.58,82.49,184539,91214,92457,121965,111,41,1091,1091,1073,1032,979,1059,21.16,0,0.85,49.4,50.1,97.1,98.4,100,94.6,0.74,0.94,-0.2,20.91,53,10732
178,HARYANA,69.13,59.29,78.1,139636,77364,54053,87705,163,64,911,911,908,873,839,895,30.19,0,0.9,55.4,38.7,98.2,99.7,100,95.8,0.79,0.98,-0.19,18.81,34,7225
193,HARYANA,70.35,61.16,78.64,188907,108003,77232,114700,218,50,1159,1158,1144,1074,1039,1142,29.91,0,1.17,57.2,40.9,98.5,98.7,99.9,92.7,1.01,1.31,-0.3,17.48,35,9921
180,HARYANA,73.24,62.31,82.79,241866,109317,119585,157014,148,37,1483,1483,1475,1380,1302,1462,23.44,0,0.75,45.2,49.4,98.6,99.5,100,93.1,0.64,0.85,-0.21,20.48,78,15957
175,HARYANA,76.74,64.8,87.39,232710,103455,128458,154583,154,37,1671,1670,1630,1598,1535,1634,20.87,0,0.89,44.5,55.2,97.8,97.5,99.9,95.6,0.76,1,-0.24,22.59,63,15314
192,HARYANA,80.37,71.19,88.42,136887,47027,88352,93572,196,56,766,766,766,715,692,765,20.44,0,0.72,34.4,64.5,99.9,100,100,93.3,0.67,0.77,-0.09,17.23,23,8001
181,HARYANA,80.83,70.96,89.44,135248,40722,92509,86857,113,9,894,894,887,869,842,890,17.79,0,0.43,30.1,68.4,99.6,99.2,100,97.2,0.4,0.45,-0.04,18.48,27,9273
186,HARYANA,78.87,65.25,91.28,117341,47072,69643,80266,63,19,1053,1052,987,1018,993,1004,16.95,0,0.95,40.1,59.4,95.3,93.7,99.9,96.7,0.91,0.98,-0.07,26.03,25,8580
191,HARYANA,82.23,70.54,92.92,122270,47112,71768,81555,90,19,933,933,914,911,895,917,20.28,0,0.69,38.5,58.7,98.3,98,100,97.6,0.59,0.78,-0.19,22.38,16,8056
179,HARYANA,84.44,77.64,90.27,229219,85929,140319,145143,275,70,959,959,945,898,880,947,13.07,0,0.44,37.5,61.2,98.7,98.5,100,93.6,0.34,0.53,-0.19,12.63,18,10013
177,HARYANA,83.04,75.17,89.94,300394,80128,219766,185456,297,82,1032,1030,1011,1003,985,1021,12.37,0,0.25,26.7,73.2,98.9,98,99.8,97.2,0.24,0.27,-0.02,14.77,18,11474
187,HARYANA,56.14,37.58,72.98,195218,160127,34475,181013,351,184,992,989,889,925,879,938,6.91,0,0.69,82,17.7,94.6,89.6,99.7,93.2,0.57,0.78,-0.21,35.4,46,6155
188,HARYANA,70.32,56.4,82.6,184681,91509,93079,130641,167,77,1003,1003,935,963,932,984,19.48,0,0.69,49.5,50.4,98.1,93.2,100,96,0.59,0.78,-0.2,26.2,31,9051
428,NCT OF DELHI,89.38,84.83,93.04,57254,25617,31637,9085,5,1,95,95,95,87,83,95,23.41,0,0.81,44.7,55.3,100,100,100,91.6,0.63,0.99,-0.36,8.21,4,3613
507,RAJASTHAN,70.25,60.07,79.33,312292,153800,158386,187904,262,80,3237,3226,2443,3232,3199,2644,36.59,0.68,1.78,49.2,50.7,81.7,75.5,99.7,99.8,1.49,2.02,-0.53,19.26,33,19968
508,RAJASTHAN,68.37,56.91,78.82,288090,127082,159900,168621,259,83,2155,2148,1790,2154,2138,1925,27.85,0.81,1.2,44.1,55.5,89.3,83.1,99.7,100,1.03,1.35,-0.31,21.91,16,16227
500,RAJASTHAN,65.92,53.77,76.9,429601,192745,232016,301459,615,66,3386,3377,1849,3358,3285,2678,20.88,0.33,1.06,44.9,54,79.1,54.6,99.7,99.2,0.94,1.16,-0.22,23.13,73,20970
503,RAJASTHAN,67.46,54.25,79.95,372772,161276,205487,236482,453,82,2667,2656,2014,2659,2609,2218,22.15,0.55,0.61,43.3,55.1,83.2,75.5,99.6,99.7,0.57,0.66,-0.09,25.7,50,20009
