district_id,state_name,institutional_births_pct,full_immunization_pct,stunted_pct,wasted_pct,underweight_pct,child_anaemia_pct,pregnant_women_anaemia_pct,diarrhoea_prevalence_pct,ari_prevalence_pct,antenatal_care_4visits_pct,postnatal_care_pct,household_electricity_pct,household_drinking_water_pct,household_sanitation_pct,health_insurance_pct,womens_literacy_health_survey
1,ANDAMAN & NICOBAR ISLANDS,97.8,64.2,21.6,15.7,24.6,37.7,,5.7,1.8,71.7,85.1,97.9,98.8,83.5,2.7,87.5
2,ANDAMAN & NICOBAR ISLANDS,97.7,,27.0,27.0,42.8,30.4,,4.5,7.0,79.2,92.5,93.2,92.2,86.4,2.1,84.0
3,ANDAMAN & NICOBAR ISLANDS,99.5,76.3,21.1,12.6,17.4,43.4,,6.0,0.0,85.9,88.1,99.6,97.9,89.3,1.2,86.7
12,ANDHRA PRADESH,97.9,82.8,19.7,19.5,21.4,59.6,,11.9,1.3,78.4,90.8,99.9,87.7,71.6,75.6,64.3
14,ANDHRA PRADESH,99.0,76.8,36.4,19.2,32.2,66.7,,7.5,1.4,71.4,83.9,99.5,93.1,61.7,76.7,58.3
13,ANDHRA PRADESH,95.3,76.5,31.0,21.5,33.5,72.6,,8.1,2.0,58.6,84.8,99.6,91.8,77.8,64.9,69.5
6,ANDHRA PRADESH,96.6,59.0,23.1,14.3,22.4,66.8,,13.3,2.2,51.0,91.9,98.8,97.9,77.7,66.4,77.9
15,ANDHRA PRADESH,98.7,80.0,31.4,11.7,22.5,62.3,,2.7,1.0,62.7,94.8,99.3,99.1,80.8,67.6,77.0
8,ANDHRA PRADESH,98.9,90.0,29.8,14.3,21.1,65.7,,7.8,2.4,73.3,88.3,99.6,94.4,79.1,68.1,76.9
7,ANDHRA PRADESH,98.6,76.2,23.8,17.8,26.9,59.3,51.9,10.0,1.0,62.5,94.0,99.2,99.3,83.4,71.1,68.5
