district_id,district_name,state_name,health_subscore,education_subscore,priority_index,priority_tier,dominant_driver,institutional_births_pct,full_immunization_pct,household_sanitation_pct,health_insurance_pct,overall_literacy,pct_schools_electricity,pct_schools_water,pct_schools_road_connected,stunted_pct,wasted_pct,underweight_pct,child_anaemia_pct,dropout_rate_pct,true_pupil_teacher_ratio_x,literacy_gender_gap,dropout_gender_gap,toilet_gender_gap,pct_sc_population,pct_st_population,primary_pupil_teacher_ratio,predicted_tier,prediction_correct,true_pupil_teacher_ratio
104,SITAMARHI,BIHAR,22.06738769,28.61896839,25.34317804,Low,Education-driven,64.4,66.6,50.7,20.7,53.53,27.7,97,80,54.2,16.2,40.8,70,0.55,64.05,19.16,-0.17,43,11.85,0.09,1857,Low,TRUE,64.05
88,MADHEPURA,BIHAR,18.55241265,26.89961176,22.7260122,Low,Education-driven,75,72,34.6,9.5,53.78,32.5,97.3,92.1,46.3,20.6,43.5,67.7,1.31,63.19,21.07,-0.35,119,17.3,0.63,1102,Low,TRUE,63.19
103,SHEOHAR,BIHAR,18.69800333,22.7953411,20.74667221,Low,Both equally,74.3,62.9,57.9,18.1,56,32.3,88.8,87.1,34.4,35.4,42.2,73.1,1.15,62.07,16.47,-0.45,-9,14.73,0.05,379,Low,TRUE,62.07
96,PURBA CHAMPARAN,BIHAR,26.24792013,28.53577371,27.39184692,Low,Both equally,61.5,68.3,48.3,19.4,58.26,22.8,87,90.6,49.1,16.8,37.9,61,0.53,60.04,20.66,-0.18,-34,12.74,0.24,2677,Low,TRUE,60.04
85,KHAGARIA,BIHAR,26.45590682,24.84747643,25.65169163,Low,Both equally,74.2,64.7,65,15.6,60.87,31.9,95.8,69.8,34.8,25.3,36.4,67.1,0.92,59.12,16.35,-0.65,2,14.83,0.04,852,Low,TRUE,59.12
97,PURNIA,BIHAR,13.1031614,27.56516916,20.33416528,Low,Education-driven,68.9,62.7,35.6,10.2,52.49,36.2,97.1,83.3,43.5,25.8,47.1,68,0.95,58.74,17.9,-0.26,-12,11.98,4.27,2029,Low,TRUE,58.74
648,LUCKNOW,UTTAR PRADESH,55.80282862,56.98835275,56.39559068,Medium,Both equally,91.3,68.9,80.4,15.8,79.33,59.9,99.4,96.1,32.1,11.5,25.5,52.9,0.39,57.74,10.39,-0.04,86,20.66,0.16,2091,Medium,TRUE,57.74
94,PASHCHIM CHAMPARAN,BIHAR,33.27787022,33.36106489,33.31946755,Low,Both equally,79.5,62.1,43.3,20,58.06,33.3,94.2,92.9,43.5,13.2,30.3,61.6,0.71,57.39,21.37,-0.2,-4,14.08,6.35,2265,Low,TRUE,57.39
79,GAYA,BIHAR,17.80366057,26.76095397,22.28230727,Low,Education-driven,76.6,85,44.4,9.7,66.35,29.9,94.1,71.9,47.4,24.3,43.5,76.7,0.85,57.29,20.12,-0.22,196,30.39,0.07,2507,Low,TRUE,57.29
73,BANKA,BIHAR,18.01164725,18.27509706,18.14337216,Low,Both equally,79.8,88.1,38.2,13.6,60.12,23.9,91.4,77.7,46.7,26.9,45.8,77.8,1.23,54.51,20.36,-0.33,41,12.18,4.44,1588,Low,TRUE,54.51
89,MADHUBANI,BIHAR,26.03993344,33.86023295,29.95008319,Low,Education-driven,73.7,74.1,38.2,19.2,60.9,31.7,95,90.6,43.3,17.1,36,71,0.56,54.35,24.23,-0.16,1,13.09,0.09,2283,Low,TRUE,54.35
100,SAMASTIPUR,BIHAR,23.96006656,35.69051581,29.82529118,Low,Education-driven,83.4,71.4,48.8,19,63.81,41.7,89.7,96,44,21.3,42.8,67.2,0.88,53.97,19.57,-0.24,52,18.85,0.04,2066,Low,TRUE,53.97
611,BALRAMPUR,UTTAR PRADESH,15.74459235,34.88630061,25.31544648,Low,Education-driven,69.7,57.4,59.7,13,51.76,15.7,98,94.2,41.2,24.9,37.2,75.4,0.22,53.37,20.74,-0.07,19,12.9,1.16,1463,Low,TRUE,53.37
84,KATIHAR,BIHAR,17.94925125,29.11813644,23.53369384,Low,Education-driven,66.9,73.7,44.6,8.4,53.56,26.1,98.6,84.6,43.9,23.5,48.1,65.6,0.82,53.22,15.62,-0.25,-26,8.57,5.86,1500,Low,TRUE,53.22
74,BEGUSARAI,BIHAR,25.24958403,39.62839712,32.43899057,Low,Education-driven,86,65.8,62.2,13.2,66.23,34,98.9,93.4,37.8,21,35.6,74.5,0.8,52.58,17.26,-0.09,4,14.55,0.05,1035,Low,TRUE,52.58
102,SHEIKHPURA,BIHAR,26.43510815,21.1869107,23.81100943,Low,Health-driven,89.2,82.8,54.2,9.7,65.96,40.3,90.2,78.3,53.6,16.3,37.6,80.1,1.63,52.31,21.21,-0.31,1,20.6,0.1,390,Low,TRUE,52.31
629,GHAZIABAD,UTTAR PRADESH,53.43178037,67.47088186,60.45133111,Medium,Education-driven,86.4,68.5,84.5,20,85,75.3,100,99.1,28.2,17.1,23.4,61.8,0.41,51.87,6.74,-0.06,17,16.52,0.09,823,Medium,TRUE,51.87
